JOB TITLE,INDUSTRY,JOB STATUS,AI IMPACT LEVEL,MEDIAN SALARY (USD),REQUIRED EDUCATION,EXPERIENCE REQUIRED (YEARS),JOB OPENINGS (2024),PROJECTED OPENINGS (2030),REMOTE WORK RATIO (%),AUTOMATION RISK (%),LOCATION,GENDER DIVERSITY (%),OPENING GROWTH (%)
"Administrator, sports",Education,Decreasing,Moderate,130481.34,High School,19.0,8439.0,7191.0,19.49,23.74,USA,32.75,-14.79
Chief Technology Officer,Education,Increasing,High,56630.17,High School,8.0,4374.0,1798.0,5.76,87.97,Australia,37.19,-58.89
Location manager,Education,Decreasing,Low,114235.92,Associate Degree,5.0,1221.0,5278.0,73.49,89.63,Germany,21.71,332.27
Electronics engineer,Education,Increasing,Moderate,55417.38,Bachelor's Degree,16.0,5514.0,9329.0,13.73,73.07,USA,75.39,69.19
Paramedic,Education,Increasing,High,114696.1,PhD,7.0,5178.0,8858.0,52.19,65.97,Brazil,62.39,71.07
Senior tax professional/tax inspector,Education,Decreasing,Moderate,77251.66,High School,1.0,3200.0,8580.0,11.43,8.52,USA,52.91,168.13
Advertising account executive,Education,Increasing,Low,36277.15,Associate Degree,13.0,8648.0,9533.0,70.04,73.06,Brazil,35.35,10.23
"Surveyor, insurance",Education,Increasing,Low,88447.52,Master's Degree,13.0,9937.0,5188.0,73.71,95.5,Germany,70.54,-47.79
"Producer, radio",Education,Decreasing,Low,116993.45,PhD,18.0,3159.0,9421.0,71.26,93.48,Canada,56.25,198.23
Commissioning editor,Education,Increasing,Low,30198.71,PhD,20.0,8052.0,4959.0,9.37,72.85,Canada,61.98,-38.41
Comptroller,Education,Increasing,High,59132.36,High School,10.0,6761.0,4731.0,63.46,10.78,Brazil,49.86,-30.03
Dentist,Education,Increasing,Moderate,31480.0,High School,10.0,3145.0,2293.0,67.24,41.38,Canada,54.08,-27.09
Industrial buyer,Education,Increasing,Moderate,75102.85,High School,17.0,4532.0,8925.0,11.23,59.45,Australia,34.32,96.93
"Scientist, audiological",Education,Increasing,Low,135569.25,Associate Degree,12.0,3308.0,1159.0,34.22,84.54,India,38.5,-64.96
Fisheries officer,Education,Increasing,Moderate,41887.92,High School,9.0,4748.0,7952.0,90.78,69.51,Germany,48.48,67.48
Corporate investment banker,Education,Increasing,High,32763.76,Associate Degree,10.0,8593.0,6527.0,46.37,4.02,Brazil,69.64,-24.04
Outdoor activities/education manager,Education,Decreasing,Moderate,33544.39,Bachelor's Degree,1.0,8114.0,9397.0,92.31,94.0,Germany,67.58,15.81
"Designer, fashion/clothing",Education,Decreasing,High,54722.2,Associate Degree,17.0,8512.0,7307.0,75.37,79.1,Canada,61.92,-14.16
Financial adviser,Education,Decreasing,Moderate,72577.01,Associate Degree,14.0,1674.0,5651.0,52.37,92.38,India,71.71,237.57
Software engineer,Education,Increasing,Low,63008.76,PhD,18.0,7691.0,2789.0,67.71,5.52,Brazil,67.74,-63.74
Financial manager,Education,Increasing,High,119646.08,Bachelor's Degree,19.0,2924.0,2435.0,84.4,75.02,Germany,23.69,-16.72
Estate agent,Education,Increasing,High,89809.21,Associate Degree,11.0,2797.0,8336.0,39.23,35.71,Germany,20.94,198.03
"Engineer, manufacturing",Education,Decreasing,Low,135072.73,High School,4.0,4531.0,3587.0,5.81,47.93,Canada,25.16,-20.83
Field seismologist,Education,Decreasing,Low,30032.05,Bachelor's Degree,1.0,9010.0,6057.0,72.51,45.51,Germany,70.81,-32.77
"Investment banker, operational",Education,Increasing,High,67584.59,Bachelor's Degree,9.0,4637.0,6755.0,3.58,33.26,USA,45.78,45.68
English as a foreign language teacher,Education,Increasing,High,57997.54,High School,0.0,7272.0,3039.0,12.77,66.86,UK,59.97,-58.21
Medical technical officer,Education,Decreasing,Low,54439.52,Master's Degree,17.0,5170.0,2233.0,2.36,81.92,Canada,78.07,-56.81
Multimedia specialist,Education,Increasing,High,102547.5,Associate Degree,14.0,9879.0,153.0,68.95,10.77,India,59.48,-98.45
Camera operator,Education,Increasing,Moderate,121044.16,Master's Degree,2.0,3110.0,5130.0,43.29,16.27,USA,27.31,64.95
Early years teacher,Education,Decreasing,Low,124731.83,Bachelor's Degree,7.0,2794.0,5511.0,65.01,54.08,Australia,42.34,97.24
Tourism officer,Education,Decreasing,Moderate,130389.31,High School,11.0,1805.0,8540.0,16.37,16.03,Australia,65.72,373.13
"Horticulturist, amenity",Education,Decreasing,High,31569.08,Associate Degree,5.0,4066.0,8917.0,32.09,34.67,UK,55.21,119.31
"Engineer, biomedical",Education,Increasing,Low,73230.01,Bachelor's Degree,13.0,6617.0,9490.0,44.2,26.53,Canada,58.65,43.42
Airline pilot,Education,Increasing,High,78097.98,Master's Degree,5.0,8527.0,1355.0,56.53,65.11,UK,27.44,-84.11
Armed forces training and education officer,Education,Increasing,High,74236.44,Master's Degree,15.0,7700.0,5716.0,82.5,94.66,Australia,45.92,-25.77
"Designer, exhibition/display",Education,Decreasing,Moderate,68406.32,PhD,18.0,7710.0,939.0,51.96,49.06,USA,36.59,-87.82
"Investment banker, operational",Education,Decreasing,High,76105.33,Bachelor's Degree,0.0,823.0,4209.0,87.0,27.51,Brazil,60.35,411.42
Pharmacologist,Education,Decreasing,High,148575.54,Associate Degree,9.0,9393.0,8115.0,46.78,84.41,Australia,56.39,-13.61
Sport and exercise psychologist,Education,Increasing,Low,62799.61,Bachelor's Degree,7.0,736.0,2321.0,2.9,59.23,UK,61.53,215.35
"Doctor, hospital",Education,Decreasing,Low,73710.32,Associate Degree,11.0,1901.0,1424.0,24.89,66.61,India,45.52,-25.09
Secretary/administrator,Education,Increasing,Low,100855.95,Bachelor's Degree,11.0,267.0,4319.0,14.45,47.08,UK,54.23,1517.6
Film/video editor,Education,Decreasing,Low,96134.0,PhD,10.0,9168.0,9774.0,78.01,2.78,USA,28.61,6.61
"Research officer, trade union",Education,Decreasing,Low,55031.74,Associate Degree,17.0,4659.0,6293.0,79.66,37.6,India,64.31,35.07
Electronics engineer,Education,Decreasing,High,54194.76,Bachelor's Degree,11.0,4159.0,9263.0,73.39,38.23,India,22.46,122.72
Geoscientist,Education,Decreasing,Low,64258.56,Master's Degree,10.0,5067.0,4160.0,18.37,3.93,USA,42.94,-17.9
Bookseller,Education,Increasing,Low,106127.82,Bachelor's Degree,0.0,1789.0,3390.0,46.7,22.63,USA,21.69,89.49
Writer,Education,Increasing,Low,126004.25,PhD,16.0,9530.0,3369.0,29.69,98.51,India,71.11,-64.65
Lobbyist,Education,Decreasing,High,97538.2,PhD,5.0,9439.0,3129.0,2.57,53.5,Brazil,39.06,-66.85
Hospital pharmacist,Education,Decreasing,Moderate,65638.34,Master's Degree,17.0,9172.0,5191.0,8.14,29.43,Canada,40.79,-43.4
Volunteer coordinator,Education,Increasing,Low,108001.62,Bachelor's Degree,3.0,1447.0,7978.0,58.42,73.73,Germany,64.2,451.35
Minerals surveyor,Education,Increasing,Moderate,42564.87,PhD,4.0,3299.0,1626.0,58.12,83.72,Australia,50.47,-50.71
Minerals surveyor,Education,Decreasing,Low,134405.75,Master's Degree,11.0,7683.0,1530.0,33.94,98.85,Germany,23.41,-80.09
Newspaper journalist,Education,Increasing,Moderate,144854.66,PhD,19.0,6951.0,6132.0,68.08,2.13,Australia,61.21,-11.78
Sales promotion account executive,Education,Increasing,Moderate,73791.19,Associate Degree,3.0,9804.0,1199.0,62.52,92.21,Australia,70.4,-87.77
Sport and exercise psychologist,Education,Increasing,High,109920.16,High School,1.0,8165.0,874.0,21.96,45.14,USA,46.54,-89.3
Data processing manager,Education,Decreasing,Moderate,95098.89,High School,6.0,4709.0,1584.0,5.9,74.1,China,26.17,-66.36
Materials engineer,Education,Increasing,High,133965.96,PhD,4.0,9249.0,3361.0,2.85,92.62,India,75.2,-63.66
Ophthalmologist,Education,Increasing,Moderate,146413.49,PhD,5.0,4361.0,8924.0,61.98,46.98,Brazil,76.5,104.63
Barista,Education,Decreasing,Low,47459.63,PhD,4.0,7575.0,6354.0,56.88,2.74,Australia,34.37,-16.12
Trading standards officer,Education,Decreasing,Moderate,146082.58,Bachelor's Degree,16.0,3283.0,8964.0,14.0,31.55,Brazil,39.39,173.04
Microbiologist,Education,Increasing,Moderate,34167.81,Master's Degree,12.0,2323.0,4502.0,63.89,97.81,Germany,29.56,93.8
Systems developer,Education,Increasing,Moderate,99728.68,PhD,5.0,297.0,5297.0,50.75,31.16,Brazil,60.78,1683.5
Social researcher,Education,Increasing,High,33456.93,Master's Degree,3.0,7488.0,5993.0,28.09,86.2,Brazil,65.59,-19.97
Interpreter,Education,Decreasing,Low,56726.62,PhD,16.0,7013.0,5466.0,5.72,77.83,India,59.82,-22.06
Quantity surveyor,Education,Decreasing,Low,142038.53,Associate Degree,7.0,5914.0,3127.0,72.89,10.2,Canada,27.41,-47.13
Holiday representative,Education,Increasing,Low,78927.22,High School,6.0,1292.0,1341.0,58.8,42.33,Australia,48.91,3.79
Social worker,Education,Increasing,Moderate,45496.57,Bachelor's Degree,6.0,9165.0,2306.0,9.78,4.48,Canada,27.52,-74.84
Metallurgist,Education,Increasing,High,137455.78,Bachelor's Degree,1.0,5803.0,3384.0,26.67,65.54,USA,77.95,-41.69
Air traffic controller,Education,Increasing,Low,124181.0,High School,16.0,5731.0,1498.0,56.61,64.84,UK,29.21,-73.86
Chief Financial Officer,Education,Increasing,Moderate,117376.27,Bachelor's Degree,4.0,1781.0,7704.0,37.15,74.58,India,59.54,332.57
"Psychologist, occupational",Education,Increasing,Moderate,134695.17,High School,18.0,4881.0,780.0,6.21,89.3,Australia,39.65,-84.02
Intelligence analyst,Education,Decreasing,High,140160.05,PhD,19.0,6823.0,3617.0,77.81,95.59,Australia,43.06,-46.99
Chartered public finance accountant,Education,Decreasing,Low,79141.72,High School,5.0,6239.0,2902.0,20.64,8.88,Brazil,41.49,-53.49
Lawyer,Education,Increasing,Low,39360.43,PhD,13.0,6488.0,7421.0,10.41,23.31,India,72.13,14.38
Paramedic,Education,Decreasing,High,141041.44,High School,3.0,4603.0,2801.0,20.9,14.91,Brazil,25.13,-39.15
Production manager,Education,Decreasing,Moderate,65674.01,PhD,10.0,3236.0,4152.0,93.05,70.6,Canada,38.39,28.31
"Research officer, government",Education,Decreasing,High,129900.8,Bachelor's Degree,4.0,6849.0,9019.0,90.45,60.68,Australia,65.92,31.68
"Teacher, English as a foreign language",Education,Decreasing,High,39385.87,High School,12.0,8043.0,8119.0,75.67,58.52,Australia,54.7,0.94
"Surveyor, building control",Education,Increasing,Moderate,34019.96,Bachelor's Degree,20.0,5508.0,8804.0,37.55,94.24,Canada,27.13,59.84
Sales executive,Education,Increasing,Moderate,111398.72,Bachelor's Degree,15.0,6596.0,494.0,61.04,10.96,Germany,21.95,-92.51
Public relations account executive,Education,Increasing,Low,99803.72,Master's Degree,10.0,7679.0,6784.0,17.04,32.36,UK,47.47,-11.66
"Doctor, general practice",Education,Decreasing,Moderate,104524.92,Master's Degree,14.0,3398.0,5008.0,50.12,88.02,Australia,38.18,47.38
"Accountant, chartered certified",Education,Decreasing,High,92913.29,Bachelor's Degree,9.0,5602.0,2628.0,44.27,78.18,Brazil,66.02,-53.09
Fashion designer,Education,Decreasing,Low,96003.16,Bachelor's Degree,15.0,6835.0,6049.0,92.63,35.46,China,39.56,-11.5
Actor,Education,Decreasing,Moderate,88146.13,PhD,20.0,2228.0,1073.0,48.36,65.37,UK,75.08,-51.84
Water engineer,Education,Increasing,High,57644.96,Associate Degree,15.0,9528.0,4236.0,96.73,61.82,Canada,42.32,-55.54
Water quality scientist,Education,Decreasing,High,116073.9,Bachelor's Degree,13.0,5787.0,5858.0,58.93,99.71,Australia,41.25,1.23
Drilling engineer,Education,Increasing,Low,76219.32,Associate Degree,19.0,2591.0,8900.0,16.69,8.74,India,37.75,243.5
Building surveyor,Education,Increasing,Low,113625.42,PhD,16.0,9534.0,897.0,12.93,62.04,India,59.56,-90.59
Records manager,Education,Decreasing,Moderate,109258.8,Associate Degree,0.0,5718.0,8981.0,5.29,9.8,UK,63.88,57.07
Water quality scientist,Education,Increasing,Low,49167.06,High School,5.0,5790.0,1792.0,53.26,58.84,Canada,53.21,-69.05
Architect,Education,Decreasing,Moderate,130343.95,Associate Degree,13.0,8831.0,4869.0,95.08,41.34,Germany,46.69,-44.86
Secondary school teacher,Education,Decreasing,Low,104856.71,Bachelor's Degree,0.0,9781.0,2943.0,21.02,88.86,Australia,24.76,-69.91
"Therapist, occupational",Education,Decreasing,High,118313.52,PhD,8.0,3186.0,3317.0,52.21,53.74,Australia,62.63,4.11
"Geologist, engineering",Education,Decreasing,Low,99081.51,Associate Degree,10.0,5828.0,7545.0,9.68,32.94,India,35.23,29.46
Multimedia specialist,Education,Decreasing,High,109595.06,Bachelor's Degree,7.0,7805.0,2772.0,42.4,67.89,UK,47.41,-64.48
Editorial assistant,Education,Increasing,Low,140291.85,Bachelor's Degree,14.0,5495.0,1778.0,59.21,33.88,UK,74.53,-67.64
Television/film/video producer,Education,Decreasing,Moderate,84313.38,Bachelor's Degree,16.0,4815.0,6872.0,63.11,39.43,Brazil,51.88,42.72
"Engineer, production",Education,Decreasing,Low,67070.47,PhD,6.0,2139.0,1059.0,64.74,94.29,Brazil,34.3,-50.49
Gaffer,Education,Decreasing,Moderate,135880.61,PhD,15.0,7393.0,3811.0,72.68,14.02,China,34.29,-48.45
Tourist information centre manager,Education,Decreasing,Moderate,53164.58,Associate Degree,9.0,6953.0,2036.0,63.82,2.89,China,50.88,-70.72
Holiday representative,Education,Increasing,Moderate,106309.36,Master's Degree,15.0,2281.0,3266.0,29.28,4.93,USA,65.84,43.18
Higher education lecturer,Education,Increasing,Moderate,104116.57,High School,11.0,7935.0,4640.0,89.53,83.72,Germany,25.36,-41.52
Special effects artist,Education,Increasing,High,87634.92,PhD,7.0,2540.0,6216.0,14.65,25.18,Canada,36.69,144.72
Human resources officer,Education,Decreasing,Moderate,147098.07,Bachelor's Degree,7.0,1623.0,4579.0,0.46,44.6,UK,21.84,182.13
"Therapist, music",Education,Increasing,High,52662.81,High School,8.0,4090.0,2283.0,7.45,34.79,Canada,30.12,-44.18
"Scientist, research (physical sciences)",Education,Decreasing,Moderate,138221.32,High School,3.0,3902.0,7410.0,64.13,52.96,Germany,49.95,89.9
Fashion designer,Education,Decreasing,High,146911.57,High School,17.0,3220.0,6448.0,90.78,41.68,Brazil,45.02,100.25
Office manager,Education,Decreasing,Moderate,58082.28,Associate Degree,6.0,4525.0,5837.0,81.98,76.1,India,79.52,28.99
Immigration officer,Education,Increasing,Low,56219.04,Master's Degree,2.0,6279.0,5536.0,24.16,85.89,UK,40.45,-11.83
Hydrogeologist,Education,Decreasing,High,45068.3,Associate Degree,16.0,6245.0,4178.0,41.69,63.08,Germany,47.13,-33.1
Corporate treasurer,Education,Increasing,Moderate,146096.55,Associate Degree,16.0,639.0,5991.0,17.9,57.56,UK,48.05,837.56
Community pharmacist,Education,Increasing,High,128164.37,High School,11.0,8632.0,7108.0,17.49,79.87,UK,69.23,-17.66
Audiological scientist,Education,Increasing,High,65190.04,Master's Degree,14.0,2000.0,2300.0,33.47,86.14,Australia,73.43,15.0
"Scientist, biomedical",Education,Increasing,Low,35481.88,High School,5.0,2480.0,1913.0,25.08,49.59,Germany,33.37,-22.86
Systems analyst,Education,Increasing,Moderate,75103.99,Associate Degree,20.0,8311.0,5504.0,7.7,21.34,Germany,42.91,-33.77
Orthoptist,Education,Decreasing,Moderate,65286.54,High School,2.0,177.0,5488.0,52.82,81.64,Brazil,47.51,3000.56
"Buyer, retail",Education,Decreasing,Low,60103.47,Associate Degree,11.0,9285.0,2866.0,82.27,13.95,USA,26.95,-69.13
Media planner,Education,Decreasing,High,91690.6,High School,5.0,809.0,2777.0,95.3,51.16,UK,70.24,243.26
"Loss adjuster, chartered",Education,Increasing,Low,96836.56,Associate Degree,4.0,2426.0,9942.0,71.73,71.05,USA,73.82,309.81
Nutritional therapist,Education,Increasing,Moderate,128884.03,Bachelor's Degree,2.0,4720.0,6218.0,78.77,65.89,Germany,56.61,31.74
"Designer, jewellery",Education,Decreasing,Low,143651.5,Associate Degree,7.0,2411.0,7266.0,52.59,73.95,UK,75.46,201.37
Garment/textile technologist,Education,Decreasing,Moderate,42340.31,Bachelor's Degree,12.0,9479.0,1458.0,33.66,43.08,Canada,30.47,-84.62
Social worker,Education,Increasing,High,58286.48,Associate Degree,0.0,4365.0,3509.0,36.34,89.84,Brazil,78.29,-19.61
Industrial buyer,Education,Decreasing,High,143273.99,High School,17.0,4491.0,7296.0,20.08,9.38,Brazil,73.45,62.46
"Teacher, adult education",Education,Increasing,Low,68717.58,PhD,8.0,7025.0,5284.0,22.16,59.59,Australia,75.02,-24.78
"Nurse, mental health",Education,Decreasing,Low,99997.43,Associate Degree,5.0,1469.0,7373.0,50.8,89.08,China,78.32,401.91
Music tutor,Education,Increasing,High,72428.9,PhD,11.0,2422.0,6837.0,87.34,29.08,China,34.32,182.29
Architect,Education,Decreasing,Moderate,116499.65,Bachelor's Degree,9.0,2526.0,7531.0,98.54,89.51,UK,20.35,198.14
"Scientist, research (life sciences)",Education,Decreasing,Low,66332.88,Bachelor's Degree,16.0,618.0,6738.0,30.69,58.73,Australia,54.89,990.29
"Surveyor, land/geomatics",Education,Decreasing,High,49469.96,Associate Degree,10.0,6393.0,5476.0,93.24,36.23,India,33.91,-14.34
Chief Technology Officer,Education,Increasing,High,127991.72,High School,0.0,2017.0,9521.0,81.69,8.03,Brazil,60.11,372.04
"Scientist, audiological",Education,Increasing,Moderate,141346.96,Bachelor's Degree,5.0,3120.0,2653.0,57.2,52.55,China,43.86,-14.97
"Conservation officer, nature",Education,Increasing,Moderate,84891.86,PhD,5.0,8927.0,314.0,82.67,3.47,UK,68.2,-96.48
Software engineer,Education,Increasing,Low,48607.95,Associate Degree,6.0,1711.0,5795.0,51.26,72.69,Germany,68.39,238.69
"Surveyor, insurance",Education,Increasing,Moderate,37103.05,Associate Degree,17.0,3346.0,8641.0,39.72,12.68,China,53.31,158.25
Civil Service fast streamer,Education,Decreasing,High,44752.26,Master's Degree,16.0,9206.0,7404.0,81.49,96.28,Germany,72.13,-19.57
Adult nurse,Education,Increasing,Low,89141.67,PhD,4.0,2333.0,3766.0,62.56,84.64,Australia,47.56,61.42
TEFL teacher,Education,Decreasing,Moderate,79282.6,High School,5.0,4335.0,475.0,79.54,76.16,Brazil,78.0,-89.04
Structural engineer,Education,Decreasing,Low,111723.67,Master's Degree,11.0,4018.0,773.0,58.55,49.07,Brazil,41.05,-80.76
Secondary school teacher,Education,Decreasing,Moderate,113810.34,High School,19.0,4412.0,3522.0,42.43,96.51,Brazil,33.91,-20.17
Forensic psychologist,Education,Decreasing,Moderate,34976.33,Associate Degree,14.0,5979.0,8655.0,50.88,51.98,UK,23.82,44.76
"Therapist, drama",Education,Increasing,High,52710.63,Bachelor's Degree,19.0,2766.0,6049.0,7.29,38.04,Brazil,74.63,118.69
"Presenter, broadcasting",Education,Increasing,Moderate,64975.12,High School,6.0,6189.0,4926.0,1.0,94.66,Brazil,29.73,-20.41
Television floor manager,Education,Decreasing,Moderate,35488.42,Associate Degree,7.0,8764.0,2044.0,55.97,61.66,Brazil,59.01,-76.68
"Physicist, medical",Education,Increasing,Moderate,94644.12,Associate Degree,11.0,9523.0,6045.0,26.36,87.54,Australia,22.47,-36.52
Freight forwarder,Education,Decreasing,Moderate,134381.8,High School,3.0,2720.0,8437.0,31.88,55.14,India,75.44,210.18
Drilling engineer,Education,Decreasing,Low,107690.42,PhD,13.0,2617.0,9134.0,62.86,48.61,Brazil,69.16,249.03
"Scientist, forensic",Education,Decreasing,Moderate,68548.16,Master's Degree,17.0,232.0,9099.0,58.92,80.78,USA,26.55,3821.98
Science writer,Education,Increasing,Low,109140.89,PhD,11.0,7825.0,1759.0,4.11,84.06,India,38.34,-77.52
"Lighting technician, broadcasting/film/video",Education,Increasing,Moderate,65095.12,Master's Degree,16.0,6913.0,3683.0,67.8,70.46,India,52.73,-46.72
"Therapist, art",Education,Decreasing,High,75903.05,Bachelor's Degree,8.0,7462.0,5067.0,65.15,52.82,Germany,64.85,-32.1
Clinical cytogeneticist,Education,Increasing,Moderate,138341.96,PhD,3.0,8205.0,3565.0,59.01,62.1,India,72.97,-56.55
Herpetologist,Education,Decreasing,Low,130635.92,PhD,8.0,9390.0,7334.0,28.4,30.22,Australia,50.53,-21.9
Firefighter,Education,Decreasing,Low,137889.81,Associate Degree,6.0,7713.0,3498.0,6.99,0.12,Australia,44.44,-54.65
Music tutor,Education,Decreasing,Low,78195.86,Bachelor's Degree,13.0,9045.0,6374.0,11.86,85.39,Australia,58.13,-29.53
Environmental manager,Education,Increasing,Moderate,104096.6,Master's Degree,6.0,858.0,5050.0,18.38,24.54,UK,52.13,488.58
IT trainer,Education,Increasing,High,56995.49,High School,20.0,1815.0,805.0,33.92,61.01,Canada,50.33,-55.65
"Engineer, electrical",Education,Decreasing,Moderate,149492.67,Master's Degree,5.0,6800.0,1060.0,93.06,49.34,Australia,53.01,-84.41
"Civil engineer, contracting",Education,Decreasing,Moderate,74156.98,Associate Degree,20.0,8193.0,1656.0,52.93,0.23,India,79.16,-79.79
Solicitor,Education,Decreasing,Low,40551.06,PhD,0.0,2611.0,1631.0,74.18,16.55,India,24.5,-37.53
Teaching laboratory technician,Education,Increasing,Moderate,148548.22,Master's Degree,8.0,3571.0,3759.0,82.87,21.51,UK,27.11,5.26
"Conservator, furniture",Education,Decreasing,Moderate,120299.96,Associate Degree,3.0,1079.0,7949.0,21.54,17.11,USA,66.49,636.7
Data processing manager,Education,Increasing,Low,101088.01,High School,2.0,2079.0,7480.0,95.81,93.97,India,33.66,259.79
